mode,threads,run,time_s
tasks,1,1,0.981645
tasks,1,2,0.981055
tasks,1,3,0.973383
tasks,1,4,0.974613
tasks,1,5,0.974278
tasks,2,1,0.603927
tasks,2,2,0.604520
tasks,2,3,0.603271
tasks,2,4,0.975163
tasks,2,5,0.604104
tasks,4,1,0.377869
tasks,4,2,0.383548
tasks,4,3,0.377272
tasks,4,4,0.380558
tasks,4,5,0.386536
fib_omp,1,1,0.974872
fib_omp,1,2,1.011308
fib_omp,1,3,0.975787
fib_omp,1,4,0.973796
fib_omp,1,5,0.973585
fib_omp,2,1,0.964818
fib_omp,2,2,0.965079
fib_omp,2,3,0.965055
fib_omp,2,4,0.966333
fib_omp,2,5,0.964448
fib_omp,4,1,0.885530
fib_omp,4,2,0.886083
fib_omp,4,3,0.888870
fib_omp,4,4,0.891098
fib_omp,4,5,0.885995
fib_omp_dynamic,1,1,0.972943
fib_omp_dynamic,1,2,0.973320
fib_omp_dynamic,1,3,0.973555
fib_omp_dynamic,1,4,0.972678
fib_omp_dynamic,1,5,0.973145
fib_omp_dynamic,2,1,0.609106
fib_omp_dynamic,2,2,0.610061
fib_omp_dynamic,2,3,0.609782
fib_omp_dynamic,2,4,0.630174
fib_omp_dynamic,2,5,0.608869
fib_omp_dynamic,4,1,0.398509
fib_omp_dynamic,4,2,0.398717
fib_omp_dynamic,4,3,0.398176
fib_omp_dynamic,4,4,0.399021
fib_omp_dynamic,4,5,0.398026
