system,nodes,total_ranks,message_bytes,bw_GBps,max_elapsed_s,repeat
polaris,2,2,1048576,21.056451,0.019919330,1
polaris,2,2,1048576,21.076890,0.019900014,2
polaris,2,2,1048576,20.898625,0.020069761,3
polaris,2,4,1048576,34.490883,0.024321233,1
polaris,2,4,1048576,34.071368,0.024620696,2
polaris,2,4,1048576,34.213644,0.024518312,3
polaris,2,8,1048576,36.587957,0.045854476,1
polaris,2,8,1048576,36.740188,0.045664480,2
polaris,2,8,1048576,36.571669,0.045874899,3
polaris,2,16,1048576,36.461859,0.092026115,1
polaris,2,16,1048576,36.474967,0.091993044,2
polaris,2,16,1048576,36.490287,0.091954421,3
polaris,2,32,1048576,48.766144,0.137613635,1
polaris,2,32,1048576,48.735932,0.137698945,2
polaris,2,32,1048576,48.702373,0.137793828,3
polaris,2,64,1048576,84.186257,0.159429500,1
polaris,2,64,1048576,85.483450,0.157010190,2
polaris,2,64,1048576,83.171927,0.161373834,3
