version,n,iters,warmup,end_to_end_s,compute_s,max_abs_err
cpu,256,5,1,6.144524e-04,6.142616e-04,0.000e+00
openacc,256,5,1,3.762245e-04,2.837658e-04,7.629e-06
omp_target,256,5,1,1.238346e-04,2.965927e-05,2.289e-05
cuda,256,5,1,3.264518e-04,2.624640e-05,3.815e-06
pytorch,256,5,1,3.149247e-04,4.334080e-05,7.629e-06
cpu,512,5,1,9.158564e-03,9.158373e-03,0.000e+00
openacc,512,5,1,2.058649e-03,1.745796e-03,3.052e-05
omp_target,512,5,1,4.355907e-04,1.367092e-04,3.815e-05
cuda,512,5,1,7.902658e-04,1.113792e-04,7.629e-06
pytorch,512,5,1,7.856026e-04,6.119680e-05,3.052e-05
cpu,1024,5,1,2.018328e-01,2.018326e-01,0.000e+00
openacc,1024,5,1,1.505599e-02,1.408958e-02,3.052e-05
omp_target,1024,5,1,1.950979e-03,1.010752e-03,2.441e-04
cuda,1024,5,1,2.418318e-03,8.984960e-04,1.526e-05
pytorch,1024,5,1,2.188389e-03,1.912960e-04,6.104e-05
cpu,2048,5,1,2.091471e+00,2.091471e+00,0.000e+00
openacc,2048,5,1,9.664516e-02,9.291124e-02,6.104e-05
omp_target,2048,5,1,1.003218e-02,6.308174e-03,1.129e-03
cuda,2048,5,1,1.157429e-02,6.998330e-03,3.052e-05
pytorch,2048,5,1,6.231518e-03,1.273030e-03,1.129e-03
cpu,4096,2,1,3.182859e+01,3.182859e+01,0.000e+00
openacc,4096,5,1,8.331510e-01,8.186737e-01,1.221e-04
omp_target,4096,5,1,8.331447e-02,6.887546e-02,4.883e-04
cuda,4096,5,1,7.504827e-02,5.652244e-02,6.104e-05
pytorch,4096,5,1,2.666097e-02,9.315123e-03,7.324e-04
