mode,n,iters,warmup,gemm_s,gflops,max_abs_err
fp32,256,10,2,1.597440e-05,2100.513,2.289e-05
tensor_core,256,10,2,8.704000e-06,3855.059,1.044e-01
fp32,512,10,2,3.573760e-05,7511.289,3.815e-05
tensor_core,512,10,2,1.013760e-05,26479.193,2.045e-01
fp32,1024,10,2,1.664000e-04,12905.551,2.594e-04
tensor_core,1024,10,2,2.519040e-05,85250.078,4.048e-01
fp32,2048,10,2,1.245798e-03,13790.248,3.052e-05
tensor_core,2048,10,2,1.438720e-04,119410.791,7.986e-01
fp32,4096,10,2,9.379328e-03,14653.390,6.104e-05
tensor_core,4096,10,2,6.739968e-04,203916.335,1.580e+00
fp32,8192,10,2,5.761792e-02,19082.807,1.221e-04
tensor_core,8192,10,2,4.852327e-03,226594.729,3.086e+00
